ID	Category	Description
150027162	STOLEN PROPERTY	STOLEN CELLULAR PHONE, NON-CLONED, POSSESSION
150025768	MISSING PERSON	MISSING JUVENILE
150071090	ASSAULT	BATTERY
150019755	NON-CRIMINAL	AIDED CASE, MENTAL DISTURBED
150050420	ROBBERY	ROBBERY ON THE STREET, STRONGARM
150002932	LARCENY/THEFT	GRAND THEFT FROM LOCKED AUTO
150021073	LARCENY/THEFT	GRAND THEFT SHOPLIFTING
150135759	ASSAULT	INFLICT INJURY ON COHABITEE
150084645	DISORDERLY CONDUCT	MAINTAINING A PUBLIC NUISANCE AFTER NOTIFICATION
150497236	MISSING PERSON	MISSING ADULT
150020815	FRAUD	FALSE ID TO PEACE OFFICER
150060924	OTHER OFFENSES	MISCELLANEOUS INVESTIGATION
150101409	LARCENY/THEFT	PETTY THEFT FROM LOCKED AUTO
130704039	DRIVING UNDER THE INFLUENCE	DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL
150031260	WEAPON LAWS	CARRYING A CONCEALED WEAPON
150060297	LARCENY/THEFT	GRAND THEFT OF PROPERTY
150053775	SUSPICIOUS OCC	INVESTIGATIVE DETENTION
150126413	BURGLARY	BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY
150021164	OTHER OFFENSES	PROBATION VIOLATION
150587570	ASSAULT	THREATS AGAINST LIFE
150061239	OTHER OFFENSES	DRIVERS LICENSE, SUSPENDED OR REVOKED
150938224	LARCENY/THEFT	GRAND THEFT AUTO STRIP
150006796	SECONDARY CODES	DOMESTIC VIOLENCE
150009869	LARCENY/THEFT	PETTY THEFT FROM A BUILDING
150037412	OTHER OFFENSES	DRIVERS LICENSE, SUSPENDED OR REVOKED
150033523	VEHICLE THEFT	STOLEN AUTOMOBILE
130549302	LARCENY/THEFT	PETTY THEFT SHOPLIFTING
151013196	NON-CRIMINAL	AIDED CASE, MENTAL DISTURBED
150087990	DISORDERLY CONDUCT	COMMITTING PUBLIC NUISANCE
150011507	MISSING PERSON	FOUND PERSON
150008548	MISSING PERSON	FOUND PERSON
150043550	VEHICLE THEFT	STOLEN TRUCK
150012107	BURGLARY	BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY
150602366	STOLEN PROPERTY	STOLEN CELLULAR PHONE, NON-CLONED, POSSESSION
150059137	TRESPASS	TRESPASSING
150056785	BURGLARY	BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY
150056672	BURGLARY	BURGLARY,RESIDENCE UNDER CONSTRT, UNLAWFUL ENTRY
150036680	OTHER OFFENSES	FALSE PERSONATION
150022861	NON-CRIMINAL	AIDED CASE
150037597	ASSAULT	AGGRAVATED ASSAULT WITH A KNIFE
150019614	BURGLARY	BURGLARY, ATTEMPTED FORCIBLE ENTRY
150019642	NON-CRIMINAL	CIVIL SIDEWALKS, WARNING
150018058	ASSAULT	AGGRAVATED ASSAULT WITH BODILY FORCE
150027128	MISSING PERSON	FOUND PERSON
150055163	SECONDARY CODES	ATM RELATED CRIME
150031351	LARCENY/THEFT	GRAND THEFT BICYCLE
150122756	LARCENY/THEFT	GRAND THEFT FROM LOCKED AUTO
150059193	LARCENY/THEFT	GRAND THEFT FROM A BUILDING
150017709	NON-CRIMINAL	AIDED CASE, MENTAL DISTURBED
150096866	VEHICLE THEFT	STOLEN AUTOMOBILE
150010377	BURGLARY	BURGLARY, UNLAWFUL ENTRY
166000025	VANDALISM	MALICIOUS MISCHIEF, VANDALISM
150006279	MISSING PERSON	MISSING JUVENILE
150061007	NON-CRIMINAL	CIVIL SIDEWALKS, CITATION
150056995	OTHER OFFENSES	FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY
150029691	OTHER OFFENSES	RESTRAINING ORDER NOTIFICATION/SERVICE OF RESTRAINING ORDER
151109795	WARRANTS	WARRANT ARREST
150041764	PROSTITUTION	ENGAGING IN LEWD CONDUCT - PROSTITUTION RELATED
150001348	LARCENY/THEFT	PETTY THEFT FROM A BUILDING
150056644	ASSAULT	BATTERY
150312446	VANDALISM	MALICIOUS MISCHIEF, BREAKING WINDOWS
140473456	WARRANTS	WARRANT ARREST
150039264	NON-CRIMINAL	LICENSE PLATE, FOUND
150028502	LARCENY/THEFT	GRAND THEFT FROM LOCKED AUTO
150097193	ASSAULT	AGGRAVATED ASSAULT WITH BODILY FORCE
150006627	ROBBERY	ATTEMPTED ROBBERY COMM. ESTABLISHMENT W/KNIFE
150014006	SUSPICIOUS OCC	INVESTIGATIVE DETENTION
150520291	ROBBERY	ROBBERY, BODILY FORCE
150023944	OTHER OFFENSES	RESISTING ARREST
150049843	VEHICLE THEFT	STOLEN MOTORCYCLE
150776331	MISSING PERSON	MISSING JUVENILE
150028944	LARCENY/THEFT	PETTY THEFT FROM LOCKED AUTO
150061596	LARCENY/THEFT	PETTY THEFT SHOPLIFTING
150051252	ASSAULT	BATTERY
150676101	DRUG/NARCOTIC	SALE OF BASE/ROCK COCAINE
150100520	VANDALISM	MALICIOUS MISCHIEF, GRAFFITI
150045186	VANDALISM	MALICIOUS MISCHIEF, BREAKING WINDOWS
150104839	DRUG/NARCOTIC	POSSESSION OF MARIJUANA
150008639	ROBBERY	ROBBERY, BODILY FORCE
150069465	OTHER OFFENSES	DRIVERS LICENSE, SUSPENDED OR REVOKED
150023897	LARCENY/THEFT	GRAND THEFT FROM LOCKED AUTO
150287598	ROBBERY	ROBBERY, BODILY FORCE
150036464	LARCENY/THEFT	PETTY THEFT FROM LOCKED AUTO
150030585	ASSAULT	AGGRAVATED ASSAULT WITH A KNIFE
150091979	LARCENY/THEFT	GRAND THEFT FROM LOCKED AUTO
150072816	ROBBERY	ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE
150102429	WARRANTS	WARRANT ARREST
150532296	SECONDARY CODES	ATM RELATED CRIME
150421699	ROBBERY	ROBBERY OF A RESIDENCE WITH BODILY FORCE
150030892	DISORDERLY CONDUCT	COMMITTING PUBLIC NUISANCE
151063351	NON-CRIMINAL	AIDED CASE
150051199	BURGLARY	BURGLARY, ATTEMPTED FORCIBLE ENTRY
150796486	LARCENY/THEFT	GRAND THEFT FROM LOCKED AUTO
150019749	WARRANTS	WARRANT ARREST
150053593	ASSAULT	INFLICT INJURY ON COHABITEE
150035676	MISSING PERSON	FOUND PERSON
150083835	NON-CRIMINAL	AIDED CASE, MENTAL DISTURBED
150099694	NON-CRIMINAL	DEATH REPORT, CAUSE UNKNOWN
150053032	DRUG/NARCOTIC	POSSESSION OF HEROIN FOR SALES
150018371	OTHER OFFENSES	DRIVERS LICENSE, SUSPENDED OR REVOKED
150011557	DRIVING UNDER THE INFLUENCE	DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL
150027093	NON-CRIMINAL	CASE CLOSURE
150021255	ARSON	ARSON OF A VEHICLE
150042449	NON-CRIMINAL	LICENSE PLATE, RECOVERED
150440451	WARRANTS	PROBATION SEARCH
150053474	LARCENY/THEFT	PETTY THEFT FROM LOCKED AUTO
150000801	ASSAULT	AGGRAVATED ASSAULT WITH BODILY FORCE
150032791	WEAPON LAWS	POSS OF LOADED FIREARM
150032014	LARCENY/THEFT	GRAND THEFT FROM LOCKED AUTO
150064108	OTHER OFFENSES	FALSE REPORT OF BOMB
150060275	NON-CRIMINAL	LOST PROPERTY
150024306	NON-CRIMINAL	FOUND PROPERTY
150054682	SEX OFFENSES, FORCIBLE	SEXUAL ASSAULT, ADMINISTERING DRUG TO COMMIT
150309459	ASSAULT	ELDER ADULT OR DEPENDENT ABUSE (NOT EMBEZZLEMENT OR THEFT)
150009831	MISSING PERSON	FOUND PERSON
150699379	LARCENY/THEFT	PETTY THEFT SHOPLIFTING
150007716	NON-CRIMINAL	FOUND PROPERTY
150011814	SUSPICIOUS OCC	SUSPICIOUS OCCURRENCE
150052307	FRAUD	CREDIT CARD, THEFT BY USE OF
150054892	LARCENY/THEFT	PETTY THEFT FROM A BUILDING
150602316	OTHER OFFENSES	EVADING A POLICE OFFICER RECKLESSLY
150045885	OTHER OFFENSES	PROBATION VIOLATION
150048312	OTHER OFFENSES	DRIVERS LICENSE, SUSPENDED OR REVOKED
150053731	NON-CRIMINAL	CASE CLOSURE
150066477	DRUG/NARCOTIC	POSSESSION OF METH-AMPHETAMINE
150030886	WARRANTS	WARRANT ARREST
150051036	LARCENY/THEFT	GRAND THEFT FROM LOCKED AUTO
150018155	NON-CRIMINAL	AIDED CASE
150014244	WARRANTS	WARRANT ARREST
150017646	SUSPICIOUS OCC	INVESTIGATIVE DETENTION
150041322	BURGLARY	BURGLARY OF RESIDENCE, UNLAWFUL ENTRY
150323982	ARSON	ARSON
150028950	OTHER OFFENSES	LOST/STOLEN LICENSE PLATE
150019705	BURGLARY	BURGLARY, HOT PROWL, FORCIBLE ENTRY
150025188	SEX OFFENSES, FORCIBLE	SODOMY (ADULT VICTIM)
150064136	VANDALISM	MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
150411703	LARCENY/THEFT	GRAND THEFT FROM PERSON
150072719	VANDALISM	MALICIOUS MISCHIEF, VANDALISM
150777464	TRESPASS	TRESPASSING
150097030	VEHICLE THEFT	STOLEN TRUCK
150333721	NON-CRIMINAL	FIRE REPORT
150026023	VEHICLE THEFT	STOLEN AUTOMOBILE
150312430	VEHICLE THEFT	STOLEN AUTOMOBILE
150021512	LARCENY/THEFT	GRAND THEFT FROM A BUILDING
150059789	FRAUD	FRAUDULENT USE OF AUTOMATED TELLER CARD
150053559	MISSING PERSON	MISSING ADULT
150021534	OTHER OFFENSES	VIOLATION OF MUNICIPAL CODE
150061364	OTHER OFFENSES	FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY
150046128	ASSAULT	BATTERY
150054513	ASSAULT	THREATS AGAINST LIFE
150144556	SUSPICIOUS OCC	INVESTIGATIVE DETENTION
150052498	LARCENY/THEFT	PETTY THEFT SHOPLIFTING
150060128	OTHER OFFENSES	RECKLESS DRIVING
150119850	LARCENY/THEFT	ATTEMPTED THEFT FROM LOCKED VEHICLE
150019567	OTHER OFFENSES	DRIVERS LICENSE, SUSPENDED OR REVOKED
150005516	SUSPICIOUS OCC	INVESTIGATIVE DETENTION
150067889	NON-CRIMINAL	LOST PROPERTY
150028370	WARRANTS	ENROUTE TO OUTSIDE JURISDICTION
150012276	NON-CRIMINAL	AIDED CASE, MENTAL DISTURBED
150051616	OTHER OFFENSES	DRIVERS LICENSE, SUSPENDED OR REVOKED
150008974	OTHER OFFENSES	DRIVERS LICENSE, SUSPENDED OR REVOKED
150009449	BURGLARY	BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY
150092381	ASSAULT	BATTERY
150374446	OTHER OFFENSES	TRAFFIC VIOLATION ARREST
150055107	WARRANTS	ENROUTE TO OUTSIDE JURISDICTION
150052341	ASSAULT	BATTERY OF A POLICE OFFICER
150465603	LARCENY/THEFT	GRAND THEFT PICKPOCKET
150048748	LARCENY/THEFT	PETTY THEFT SHOPLIFTING
150071658	VANDALISM	MALICIOUS MISCHIEF, BREAKING WINDOWS
150042615	OTHER OFFENSES	CONSPIRACY
150057272	NON-CRIMINAL	FOUND PROPERTY
150048908	NON-CRIMINAL	AIDED CASE
150008708	OTHER OFFENSES	PROBATION VIOLATION
150070848	VEHICLE THEFT	STOLEN TRUCK
150000776	TRESPASS	TRESPASSING
150038250	ASSAULT	THREATS AGAINST LIFE
150019028	OTHER OFFENSES	DRIVERS LICENSE, SUSPENDED OR REVOKED
150112967	OTHER OFFENSES	VIOLATION OF RESTRAINING ORDER
150041388	KIDNAPPING	FALSE IMPRISONMENT
150006332	SUSPICIOUS OCC	SUSPICIOUS OCCURRENCE
150428899	SUSPICIOUS OCC	INVESTIGATIVE DETENTION
150028922	OTHER OFFENSES	FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY
150509803	NON-CRIMINAL	LICENSE PLATE, RECOVERED
150017828	LARCENY/THEFT	PETTY THEFT FROM LOCKED AUTO
150055373	ASSAULT	AGGRAVATED ASSAULT WITH A KNIFE
150065231	OTHER OFFENSES	TAMPERING WITH A VEHICLE
150051688	WEAPON LAWS	DISCHARGE FIREARM AT AN INHABITED DWELLING
150029209	ASSAULT	BATTERY
150046742	WARRANTS	WARRANT ARREST
150009342	OTHER OFFENSES	FAILURE TO HEED RED LIGHT AND SIREN
150132937	SUSPICIOUS OCC	SUSPICIOUS OCCURRENCE
150024243	FRAUD	FRAUDULENT USE OF AUTOMATED TELLER CARD
150054381	ASSAULT	CHILD ABUSE (PHYSICAL)
150544649	OTHER OFFENSES	PAROLE VIOLATION
150049097	OTHER OFFENSES	FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY
166005003	LARCENY/THEFT	PETTY THEFT OF PROPERTY
150835880	LARCENY/THEFT	GRAND THEFT FROM A BUILDING
151072415	VANDALISM	MALICIOUS MISCHIEF, BREAKING WINDOWS
150112804	LARCENY/THEFT	PETTY THEFT FROM LOCKED AUTO
150052078	LARCENY/THEFT	PETTY THEFT FROM LOCKED AUTO
150712410	DRUG/NARCOTIC	POSSESSION OF CONTROLLED SUBSTANCE FOR SALE
